instance family glasgow hybrid-checking hybrid-always hybrid-rbj hybrid-never
si2_m4Dr2_m625.09 6 15 18 18 18 18
si2_m4Dr2_m625.06 6 26 21 21 21 21
si2_m4Dr2_m625.04 6 17 11 11 11 11
si2_m4Dr2_m625.01 6 26 40 20 40 20
si2_m4Dr2_m625.03 6 17 31 15 31 16
si2_m4Dr2_m625.02 6 28 20 20 20 20
si2_m4Dr2_m625.07 6 27 21 21 21 21
si2_r005_m200.02 7 8 46 14 46 19
si2_r005_m200.01 7 821 8851 520 8851 624
si2_r005_m200.03 7 51 3468 792 3468 706
si2_r005_m200.05 7 383 6855 112 6855 127
si2_r005_m200.08 7 3360 340713 11849 340713 8597
si2_r005_m200.04 7 5111 891247 NaN 891247 NaN
si2_r005_m200.09 7 16 1861 98 1861 119
si2_r005_m200.06 7 30 3215 950 3215 680
si2_r005_m200.00 7 552 82199 20044 82199 15189
si2_r005_m200.07 7 38 3644 984 3644 1322
si4_b03m_m400.03 4 13 27 27 27 27
si4_b03m_m400.09 4 8 19 19 19 19
si4_b03m_m400.08 4 8 22 22 22 22
si4_b03m_m400.04 4 11 19 19 19 19
si4_b03m_m400.00 4 8 21 21 21 21
si4_b03m_m400.01 4 8 25 25 25 25
si4_b03m_m400.07 4 8 20 20 20 20
si4_b03m_m400.02 4 10 24 24 24 24
si4_b03m_m400.06 4 8 20 20 20 20
si4_b03m_m400.05 4 9 23 23 23 23
si2_r01_m600.01 7 32704 872304 NaN 872304 NaN
si2_r01_m600.06 7 91437 3449563 NaN 3449563 NaN
si2_r01_m600.09 7 437251 7313 NaN 7313 NaN
si2_r01_m600.08 7 694120 6637291 NaN 6637291 NaN
si2_r01_m600.04 7 253105 10715366 NaN 10715366 NaN
si2_r01_m600.02 7 472739 16910909 NaN 16910909 NaN
si2_r01_m600.00 7 378830 14322523 NaN 14322523 NaN
si2_r01_m600.07 7 98913 2777216 NaN 2777216 NaN
si2_r01_m600.03 7 219198 8016565 NaN 8016565 NaN
si2_r01_m600.05 7 79344 2179255 NaN 2179255 NaN
si4_m4Dr6_m256.01 6 5 1 1 1 1
si4_m4Dr6_m256.00 6 8 13 11 13 11
si4_m4Dr6_m256.05 6 8 16 9 16 10
