instance family glasgow hybrid-rbj hybrid-rbj-init hybrid-noedge-rbj hybrid-noedge-rbj-init
si2_b03m_m200.03 4 2 10 23 4 5
si2_b03m_m200.00 4 1 8 13 2 4
si2_b03m_m200.08 4 1 12 25 4 4
si2_b03m_m200.06 4 1 10 13 3 7
si2_b03m_m200.02 4 1 8 13 3 7
si2_b03m_m200.09 4 2 11 13 5 2
si2_b03m_m200.04 4 1 7 12 5 6
si2_b03m_m200.01 4 2 9 21 4 6
si2_b03m_m200.07 4 1 13 20 2 3
si4_r001_m200.04 7 5 7 43 4 12
si4_r001_m200.07 7 3 6 29 6 9
si4_r001_m200.00 7 3 9 39 6 4
si4_r001_m200.01 7 5 9 48 5 7
si4_r001_m200.03 7 5 7 26 6 10
si4_r001_m200.06 7 5 9 44 5 11
si4_r001_m200.05 7 5 7 27 4 5
si4_r001_m200.08 7 5 8 29 6 10
si4_r001_m200.09 7 6 9 28 6 6
si4_r001_m200.02 7 5 8 29 7 8
si2_m4D_m256.08 5 5 9 36 7 13
si2_m4D_m256.03 5 6 8 36 7 14
si2_m4D_m256.02 5 3 9 59 3 10
si2_m4D_m256.06 5 3 8 56 7 13
si2_m4D_m256.04 5 2 8 58 4 6
si2_m4D_m256.07 5 3 7 56 5 6
si2_m4D_m256.01 5 4 9 35 7 14
si2_m4D_m256.09 5 3 9 34 6 6
si2_m4D_m256.00 5 3 9 59 5 14
si2_m4D_m256.05 5 4 10 61 4 14
si6_r01_m400.04 7 794 1219 2223 1063 235
si6_r01_m400.08 7 967 1235 2456 1123 192
si6_r01_m400.07 7 744 929 2240 755 191
si6_r01_m400.06 7 1387 1126 2206 881 215
si6_r01_m400.05 7 1568 2074 2276 1891 185
si6_r01_m400.02 7 801 1586 2217 1222 196
si6_r01_m400.00 7 1156 1494 2262 1381 190
si6_r01_m400.03 7 2287 3042 2358 2913 204
si6_r01_m400.01 7 2088 2829 2384 2661 216
si6_r01_m400.09 7 4287 3274 2221 3022 210
si2_m4Dr4_m625.07 6 19 40 199 32 21
si2_m4Dr4_m625.02 6 16 152 189 109 19
si2_m4Dr4_m625.03 6 15 206 260 179 38
si2_m4Dr4_m625.00 6 25 190 254 107 22
si2_m4Dr4_m625.05 6 16 38 244 18 23
si2_m4Dr4_m625.06 6 29 34 201 22 40
si2_m4Dr4_m625.09 6 617 1746 173 1687 43
si2_m4Dr4_m625.01 6 18 39 188 21 22
si2_m4Dr4_m625.08 6 31 46 189 41 40
si2_m4Dr4_m625.04 6 22 43 213 25 41
si4_r01_m400.01 7 1678 1448 1168 1396 189
si4_r01_m400.08 7 485 489 1169 427 164
si4_r01_m400.02 7 3902 507 1195 434 168
si4_r01_m400.03 7 4841 7133 1201 7110 161
si4_r01_m400.07 7 403 432 1144 489 198
si4_r01_m400.06 7 443 537 1141 449 211
si4_r01_m400.04 7 26529 14208 1149 14070 160
si4_r01_m400.00 7 33917 30950 1143 30679 170
si4_r01_m400.05 7 1971 5536 1157 5244 160
si4_r01_m400.09 7 11293 6197 1180 6348 153
si2_b09m_m400.09 4 8 50 121 38 33
si2_b09m_m400.03 4 11 24 102 21 35
si2_b09m_m400.01 4 9 69 92 49 33
si2_b09m_m400.08 4 16 109 95 17 36
si2_b09m_m400.05 4 17 73 138 43 36
si2_b09m_m400.06 4 9 52 134 50 18
si2_b09m_m400.00 4 10 48 106 32 18
si2_b09m_m400.02 4 13 69 120 29 25
si2_b09m_m400.04 4 14 50 123 36 16
si2_b09m_m400.07 4 9 52 130 31 36
si2_b09_m800.07 3 90 200 762 93 41
si2_b09_m800.04 3 148 154 777 105 70
si2_b09_m800.05 3 123 148 778 98 43
si2_b09_m800.00 3 128 195 794 122 40
si2_b09_m800.02 3 127 162 769 129 40
si2_b09_m800.01 3 92 160 816 115 40
si2_b09_m800.08 3 122 184 797 103 40
si2_b09_m800.09 3 98 147 784 135 44
si2_b09_m800.03 3 90 150 826 110 62
si2_b09_m800.06 3 90 144 804 117 41
si6_b03_m400.04 3 34 41 184 23 23
si6_b03_m400.09 3 20 58 161 38 13
si6_b03_m400.02 3 20 39 208 34 24
si6_b03_m400.06 3 37 54 222 40 13
si6_b03_m400.05 3 20 58 169 32 13
si6_b03_m400.08 3 37 41 162 40 13
si6_b03_m400.01 3 20 58 185 24 23
si6_b03_m400.07 3 21 39 166 30 24
si6_b03_m400.03 3 34 55 178 22 15
si6_b03_m400.00 3 20 53 177 30 22
si2_r005_m600.03 7 4446 2246 761 2181 145
si2_r005_m600.00 7 218692 30848 783 30854 179
si2_r005_m600.06 7 10872 2470 816 2396 180
si2_r005_m600.01 7 168450 164491 756 165732 183
si2_r005_m600.04 7 11780 3113 849 3004 173
si2_r005_m600.09 7 789 758 822 734 172
si2_r005_m600.05 7 340364 260654 756 262108 189
si2_r005_m600.02 7 24908 75422 793 76223 156
si2_r005_m600.08 7 24082 11317 828 11223 163
si2_r005_m600.07 7 5580 5475 833 5392 162
si4_r01_m600.05 7 4217 4976 4123 4333 323
si4_r01_m600.02 7 5125 7559 4308 7003 360
si4_r01_m600.03 7 23495 16992 4098 16460 330
si4_r01_m600.07 7 9448 36942 4144 36435 351
si4_r01_m600.08 7 13847 15270 4091 14931 361
si4_r01_m600.06 7 23209 50914 4028 49497 414
si4_r01_m600.01 7 2979 1556 4142 1305 372
si4_r01_m600.04 7 1620 2006 4099 1625 364
si4_r01_m600.00 7 1490 1834 4462 1351 326
si4_r01_m600.09 7 19077 23832 4230 23348 351
si2_b09_m400.04 3 37 53 179 43 38
